Date,WMT,COST,TGT,AMZN,BBY
11/3/2000,34.064316,26.184193,20.028381,37.5625,17.875839
11/6/2000,35.232742,25.62808,20.073904,36.5625,17.626413
11/7/2000,35.187801,26.508608,20.665642,36.9375,17.95899
11/8/2000,35.052975,26.369566,21.94018,33.875,17.41856
11/9/2000,33.884556,25.257324,19.937342,31.25,10.66315
11/10/2000,31.41288,24.469479,18.890404,30.0625,10.954149
11/13/2000,32.581314,25.535385,19.072479,27.8125,10.70472
11/14/2000,33.704796,27.342789,20.529089,28.9375,11.037293
11/15/2000,35.232742,27.250101,21.029804,29.5,10.891794
11/16/2000,34.69347,26.184193,21.115545,27.8125,10.455292
11/17/2000,34.918171,26.74032,21.434788,27.4375,11.12044
11/20/2000,34.423836,25.906124,20.933125,25.8125,10.808649
11/21/2000,33.884556,26.74032,21.069942,24.25,10.621579
11/22/2000,32.98576,25.581732,21.252365,25.1875,10.538432
11/24/2000,32.491425,26.276882,20.750696,28.9375,11.141223
11/27/2000,35.457439,27.203754,21.161146,28,10.746293
11/28/2000,35.232742,26.13785,21.161146,25.0312,10.226647
11/29/2000,37.299961,27.018377,21.982054,26.9375,9.914861
11/30/2000,37.524662,24.191416,21.936455,24.6875,8.563777
12/1/2000,36.805634,24.191416,22.939779,24.625,9.145781
12/4/2000,38.693111,25.303658,23.988714,26.5625,9.582287
12/5/2000,39.726719,26.184193,22.985384,25.375,10.185071
12/6/2000,39.412136,24.932913,23.897499,23.625,9.582287
12/7/2000,39.546955,24.608505,24.490377,21.375,7.628412
12/8/2000,39.142509,24.654856,24.581594,23.4375,7.420556
12/11/2000,36.940456,24.423132,24.307957,25.3125,8.168844
12/12/2000,37.299961,24.608505,23.760689,25.875,8.563777
12/13/2000,36.176479,24.284109,23.532663,23.75,8.626135
12/14/2000,36.715759,25.906124,22.802954,22.6875,8.875565
12/15/2000,35.8619,25.859789,22.802954,22.875,8.314346
12/18/2000,36.356243,27.018377,23.122206,19.875,8.605345
12/19/2000,34.513706,25.164629,20.978722,18.25,8.355919
12/20/2000,35.23185,25.535385,20.568274,16.6875,8.18963
12/21/2000,37.256676,26.415915,21.890839,15.1875,8.023346
12/22/2000,37.796612,27.713545,22.392506,15.5625,8.68849
12/26/2000,36.446735,26.74032,22.346895,16.9375,8.168844
12/27/2000,37.841621,27.574501,23.532663,16.875,8.896349
12/28/2000,38.111591,28.640406,23.350233,17.375,9.499142
12/29/2000,38.246563,29.61363,23.532663,15.5625,9.831717
1/2/2001,38.786537,30.540506,24.262354,13.875,9.312065
1/3/2001,42.071228,31.652746,26.451439,17.5625,11.473795
1/4/2001,40.451378,32.347897,26.953102,15.5,12.783307
1/5/2001,38.831528,30.633205,25.311285,14.5625,13.282168
1/8/2001,38.831528,31.096617,25.083256,14.9375,12.492305
1/9/2001,37.976601,31.003941,25.174465,16.375,13.386097
1/10/2001,37.211662,30.169752,25.12887,16.5,13.406889
1/11/2001,37.391651,30.633205,24.399164,17,13.781025
1/12/2001,38.111591,31.930819,25.402494,17.6875,14.051249
1/16/2001,39.37146,32.301548,26.177801,18.0625,14.34225
1/17/2001,38.831528,30.725885,26.132191,18.375,14.924253
1/18/2001,38.201572,30.725885,25.220066,19.5,14.633249
1/19/2001,36.581726,29.984364,23.897499,19.9375,14.134392
1/22/2001,37.841621,31.328346,25.220066,18.5,14.550107
1/23/2001,38.426571,31.513729,26.269014,18.9531,15.568616
1/24/2001,38.516556,31.838139,26.497046,21.875,15.506259
1/25/2001,38.876526,32.023506,26.770676,19,15.693324
1/26/2001,38.606533,30.586857,26.542645,19.5,15.797258
1/29/2001,39.020504,32.67231,26.889252,20.125,16.47904
1/30/2001,38.710941,32.440598,26.63386,18.9375,16.272835
1/31/2001,40.892342,34.294357,27.713812,17.3125,16.562176
2/1/2001,40.100407,34.294357,27.655436,16.25,15.990152
2/2/2001,39.423676,32.579632,26.976816,14.375,14.530151
2/5/2001,38.761337,32.023506,26.524391,14.4375,14.500216
2/6/2001,38.300575,32.440598,26.480629,15.8125,14.696441
2/7/2001,39.351673,33.552845,26.772505,15,14.716391
2/8/2001,37.652637,31.79178,25.80201,14.375,13.469241
2/9/2001,36.284744,30.633205,24.773134,13.375,12.92049
2/12/2001,38.480564,31.467371,26.378466,14.5,13.302953
2/13/2001,38.948513,31.838139,26.874659,13.75,13.472567
2/14/2001,38.15657,32.394253,26.714138,14.4375,13.435983
2/15/2001,37.436653,31.745443,26.673935,14.5,13.768553
2/16/2001,37.695824,31.652746,26.103914,13.6875,13.306278
2/20/2001,38.444561,32.718658,27.222027,12.5,13.67877
